order,context,next,count,probability
1,<S>,C,66,0.5893
1,<S>,Am,22,0.1964
1,<S>,Dm,5,0.0446
1,<S>,Cm,5,0.0446
1,<S>,F,4,0.0357
1,<S>,Gm,2,0.0179
1,<S>,Fm,2,0.0179
1,<S>,Em,1,0.0089
1,<S>,E,1,0.0089
1,<S>,B,1,0.0089
1,<S>,D,1,0.0089
1,<S>,Db,1,0.0089
1,<S>,Ab,1,0.0089
1,A,D,18,0.5455
1,A,C,9,0.2727
1,A,F#,6,0.1818
1,Ab,C,11,0.6111
1,Ab,Cm,4,0.2222
1,Ab,Db,1,0.0556
1,Ab,Fm,1,0.0556
1,Ab,Eb,1,0.0556
1,Am,C,55,0.3459
1,Am,Em,22,0.1384
1,Am,Dm,21,0.1321
1,Am,<E>,17,0.1069
1,Am,G,10,0.0629
1,Am,F,10,0.0629
1,Am,D,5,0.0314
1,Am,Bb,4,0.0252
1,Am,Gm,4,0.0252
1,Am,E,4,0.0252
1,Am,Fm,3,0.0189
1,Am,Ab,3,0.0189
1,Am,Db,1,0.0063
1,B,C,5,0.6250
1,B,Eb,2,0.2500
1,B,G,1,0.1250
1,Bb,C,5,0.2273
1,Bb,B,5,0.2273
1,Bb,Gm,3,0.1364
1,Bb,Dm,3,0.1364
1,Bb,Am,2,0.0909
1,Bb,Ab,1,0.0455
1,Bb,Fm,1,0.0455
1,Bb,F,1,0.0455
1,Bb,Bbm,1,0.0455
1,Bbm,Fm,1,0.5000
1,Bbm,F,1,0.5000
1,Bm,C,2,1.0000
1,C,F,119,0.2511
1,C,<E>,84,0.1772
1,C,Am,61,0.1287
1,C,Em,61,0.1287
1,C,Dm,50,0.1055
1,C,Fm,29,0.0612
1,C,Gm,14,0.0295
1,C,A,13,0.0274
1,C,E,11,0.0232
1,C,Bb,11,0.0232
1,C,Ab,8,0.0169
1,C,Eb,7,0.0148
1,C,G,3,0.0063
1,C,Db,1,0.0021
1,C,D,1,0.0021
1,C,Cm,1,0.0021
1,Cm,Fm,6,0.3000
1,Cm,C,6,0.3000
1,Cm,G,2,0.1000
1,Cm,Ab,2,0.1000
1,Cm,<E>,1,0.0500
1,Cm,Am,1,0.0500
1,Cm,Gm,1,0.0500
1,Cm,E,1,0.0500
1,D,A,18,0.6923
1,D,C,3,0.1154
1,D,F,2,0.0769
1,D,Am,2,0.0769
1,D,<E>,1,0.0385
1,Db,C,4,0.6667
1,Db,Ab,1,0.1667
1,Db,Dm,1,0.1667
1,Dbm,E,3,1.0000
1,Dm,C,40,0.4040
1,Dm,Am,26,0.2626
1,Dm,Fm,14,0.1414
1,Dm,F,6,0.0606
1,Dm,Gm,5,0.0505
1,Dm,Bb,5,0.0505
1,Dm,Ab,1,0.0101
1,Dm,Em,1,0.0101
1,Dm,<E>,1,0.0101
1,E,F,6,0.2727
1,E,C,6,0.2727
1,E,Am,3,0.1364
1,E,Dbm,3,0.1364
1,E,Em,2,0.0909
1,E,Fm,1,0.0455
1,E,Dm,1,0.0455
1,Eb,C,7,0.4667
1,Eb,<E>,2,0.1333
1,Eb,G,2,0.1333
1,Eb,Cm,2,0.1333
1,Eb,B,1,0.0667
1,Eb,F#,1,0.0667
1,Em,C,56,0.5773
1,Em,Am,26,0.2680
1,Em,Dm,6,0.0619
1,Em,Gm,3,0.0309
1,Em,G,3,0.0309
1,Em,F,3,0.0309
1,F,C,99,0.6471
1,F,Fm,25,0.1634
1,F,Am,6,0.0392
1,F,Em,5,0.0327
1,F,Db,2,0.0131
1,F,Eb,2,0.0131
1,F,A,2,0.0131
1,F,Dm,2,0.0131
1,F,<E>,2,0.0131
1,F,E,2,0.0131
1,F,Bb,2,0.0131
1,F,Bbm,1,0.0065
1,F,D,1,0.0065
1,F,Ab,1,0.0065
1,F,G,1,0.0065
1,F#,G,6,0.8571
1,F#,C,1,0.1429
1,Fm,C,77,0.8652
1,Fm,Cm,6,0.0674
1,Fm,Am,2,0.0225
1,Fm,<E>,1,0.0112
1,Fm,Gm,1,0.0112
1,Fm,Eb,1,0.0112
1,Fm,Em,1,0.0112
1,G,C,16,0.5714
1,G,Am,8,0.2857
1,G,Eb,2,0.0714
1,G,B,1,0.0357
1,G,F,1,0.0357
1,Gm,Dm,10,0.3030
1,Gm,C,6,0.1818
1,Gm,Fm,6,0.1818
1,Gm,Em,4,0.1212
1,Gm,<E>,3,0.0909
1,Gm,Bm,2,0.0606
1,Gm,Cm,2,0.0606
2,<S> <S>,C,66,0.5893
2,<S> <S>,Am,22,0.1964
2,<S> <S>,Dm,5,0.0446
2,<S> <S>,Cm,5,0.0446
2,<S> <S>,F,4,0.0357
2,<S> <S>,Gm,2,0.0179
2,<S> <S>,Fm,2,0.0179
2,<S> <S>,Em,1,0.0089
2,<S> <S>,E,1,0.0089
2,<S> <S>,B,1,0.0089
2,<S> <S>,D,1,0.0089
2,<S> <S>,Db,1,0.0089
2,<S> <S>,Ab,1,0.0089
2,<S> Ab,C,1,1.0000
