chord_from,chord_to,count,probability
G:7,C:maj,529,0.462
G:7,C:maj7,241,0.2105
G:7,D:min7,86,0.0751
G:7,E:min7,64,0.0559
G:7,C:7,41,0.0358
G:7,C:min,20,0.0175
G:7,E:hdim7,17,0.0148
G:7,E:7,13,0.0114
G:7,G:min7,11,0.0096
G:7,G:aug,10,0.0087
G:7,C:min7,10,0.0087
G:7,F#:hdim7,10,0.0087
G:7,A:min,9,0.0079
G:7,Db:7,8,0.007
G:7,Ab:dim,8,0.007
G:7,A:min7,7,0.0061
G:7,B:dim,6,0.0052
G:7,G:min,5,0.0044
G:7,F:7,5,0.0044
G:7,Eb:dim,4,0.0035
G:7,G:dim,4,0.0035
G:7,D:min,4,0.0035
G:7,Ab:7,4,0.0035
G:7,D:hdim7,4,0.0035
G:7,F#:7,4,0.0035
G:7,F:maj,3,0.0026
G:7,A:7,2,0.0017
G:7,A:hdim7,2,0.0017
G:7,D:7,2,0.0017
G:7,C:dim,2,0.0017
G:7,F:dim,2,0.0017
G:7,B:hdim7,2,0.0017
G:7,E:min,2,0.0017
G:7,Db:hdim7,1,0.0009
G:7,Db:dim,1,0.0009
G:7,B:min7,1,0.0009
G:7,Ab:maj,1,0.0009
D:min7,G:7,767,0.7662
D:min7,C:maj,47,0.047
D:min7,E:min7,25,0.025
D:min7,Eb:dim,21,0.021
D:min7,Db:7,15,0.015
D:min7,B:hdim7,13,0.013
D:min7,E:min,10,0.01
D:min7,Ab:7,9,0.009
D:min7,Bb:7,9,0.009
D:min7,A:7,8,0.008
D:min7,F:min7,8,0.008
D:min7,E:7,8,0.008
D:min7,C:maj7,6,0.006
D:min7,Db:maj7,5,0.005
D:min7,F:min,5,0.005
D:min7,F#:hdim7,4,0.004
D:min7,D:7,4,0.004
D:min7,D:min,4,0.004
D:min7,C:min7,4,0.004
D:min7,A:min,3,0.003
D:min7,G:min7,3,0.003
D:min7,G:maj,3,0.003
D:min7,A:min7,2,0.002
D:min7,G:dim,2,0.002
D:min7,F#:min7,2,0.002
D:min7,F:7,2,0.002
D:min7,Db:dim,2,0.002
D:min7,Eb:7,2,0.002
D:min7,Bb:maj7,1,0.001
D:min7,Db:min7,1,0.001
D:min7,B:7,1,0.001
D:min7,B:min7,1,0.001
D:min7,Eb:min7,1,0.001
D:min7,Ab:dim,1,0.001
D:min7,Bb:maj,1,0.001
D:min7,D:hdim7,1,0.001
C:maj,A:min7,89,0.1037
C:maj,D:min7,87,0.1014
C:maj,A:7,72,0.0839
C:maj,G:7,57,0.0664
C:maj,F:maj,55,0.0641
C:maj,Eb:dim,49,0.0571
C:maj,C:7,44,0.0513
C:maj,E:min,41,0.0478
C:maj,F:7,38,0.0443
C:maj,D:7,32,0.0373
C:maj,E:7,32,0.0373
C:maj,Db:dim,30,0.035
C:maj,A:min,24,0.028
C:maj,G:min7,21,0.0245
C:maj,C:maj7,21,0.0245
C:maj,F:min,17,0.0198
C:maj,Ab:7,16,0.0186
C:maj,E:min7,11,0.0128
C:maj,E:hdim7,11,0.0128
C:maj,F#:hdim7,10,0.0117
C:maj,F:min7,10,0.0117
C:maj,Bb:7,9,0.0105
C:maj,B:7,7,0.0082
C:maj,F:maj7,7,0.0082
C:maj,B:hdim7,6,0.007
C:maj,Eb:7,6,0.007
C:maj,A:maj,6,0.007
C:maj,Bb:maj,6,0.007
C:maj,D:min,5,0.0058
C:maj,A:hdim7,4,0.0047
C:maj,Eb:min7,4,0.0047
C:maj,B:min7,4,0.0047
C:maj,C:min7,3,0.0035
C:maj,G:min,3,0.0035
C:maj,F#:dim,3,0.0035
C:maj,G:maj,2,0.0023
C:maj,Eb:maj,2,0.0023
C:maj,E:maj,2,0.0023
C:maj,D:hdim7,2,0.0023
C:maj,F#:min7,2,0.0023
C:maj,Ab:dim,2,0.0023
C:maj,C:dim,2,0.0023
C:maj,Eb:maj7,1,0.0012
C:maj,Db:maj7,1,0.0012
C:maj,Eb:hdim7,1,0.0012
C:maj,C:aug,1,0.0012
A:7,D:min7,240,0.5797
A:7,D:7,74,0.1787
A:7,D:min,52,0.1256
A:7,Ab:7,7,0.0169
A:7,Ab:maj7,6,0.0145
A:7,F:min,6,0.0145
A:7,D:hdim7,5,0.0121
A:7,E:min7,3,0.0072
A:7,A:min7,3,0.0072
A:7,B:7,3,0.0072
A:7,F#:7,2,0.0048
A:7,G:min,2,0.0048
A:7,B:hdim7,2,0.0048
A:7,G:maj,2,0.0048
A:7,Eb:min7,1,0.0024
A:7,Eb:7,1,0.0024
A:7,Bb:maj7,1,0.0024
A:7,F:min7,1,0.0024
A:7,D:maj,1,0.0024
A:7,G:7,1,0.0024
A:7,Eb:dim,1,0.0024
A:min7,D:min7,160,0.3931
A:min7,D:7,91,0.2236
A:min7,F#:hdim7,14,0.0344
A:min7,Ab:7,13,0.0319
A:min7,A:min,12,0.0295
A:min7,G:min7,11,0.027
A:min7,F:maj7,11,0.027
A:min7,E:min7,9,0.0221
A:min7,Eb:7,9,0.0221
A:min7,F:min,7,0.0172
A:min7,F:7,7,0.0172
A:min7,B:hdim7,7,0.0172
A:min7,A:7,6,0.0147
A:min7,C:maj,6,0.0147
A:min7,Bb:7,4,0.0098
A:min7,B:min7,4,0.0098
A:min7,C:7,4,0.0098
A:min7,B:7,4,0.0098
A:min7,C:min7,3,0.0074
A:min7,F:min7,3,0.0074
